Date,CODE,Close
1/10/2011,KPLC,25
1/10/2011,TOTL,29.5
1/10/2011,JUB,199
1/10/2011,KNRE,11.85
1/10/2011,SLAM,71.5
1/10/2011,OCH,6
1/10/2011,CARB,155
1/10/2011,EABL,210
1/10/2011,ORCH,3
1/10/2011,MSC,10.45
1/10/2011,UNGA,12.15
1/11/2011,EGAD,52.5
1/11/2011,KUKZ,82.5
1/11/2011,KAPC,132
1/11/2011,LIMT,300
1/11/2011,SASN,12.95
1/11/2011,WTK,218
1/11/2011,CGEN,48
1/11/2011,ABSA,65
1/11/2011,COOP,20.5
1/11/2011,DTK,142
1/11/2011,EQTY,29
1/11/2011,HFCK,26.8
1/11/2011,KCB,23.75
1/11/2011,NBK,42.5
1/11/2011,NCBA,49
1/11/2011,SBIC,84
1/11/2011,SCBK,272
1/11/2011,EVRD,3.05
1/11/2011,XPRS,8
1/11/2011,KQ,47
1/11/2011,NMG,172
1/11/2011,SMER,7.35
1/11/2011,SGL,43.5
1/11/2011,TPSE,66.5
1/11/2011,UCHM,14.5
1/11/2011,SCAN,65.5
1/11/2011,ARM,184
1/11/2011,BAMB,194
1/11/2011,CRWN,34.75
1/11/2011,CABL,16
1/11/2011,PORT,86
1/11/2011,KENO,10.05
1/11/2011,KEGN,17
1/11/2011,KPLC-P4,7.65
1/11/2011,KPLC-P7,5.5
1/11/2011,KPLC,25
1/11/2011,TOTL,29.5
1/11/2011,JUB,199
1/11/2011,KNRE,11.7
1/11/2011,SLAM,71.5
1/11/2011,OCH,6
1/11/2011,CARB,147
1/11/2011,EABL,208
1/11/2011,ORCH,3
1/11/2011,MSC,10.2
1/11/2011,UNGA,11
1/12/2011,EGAD,53
1/12/2011,KUKZ,82.5
1/12/2011,KAPC,130
1/12/2011,LIMT,300
1/12/2011,SASN,12.75
1/12/2011,WTK,213
1/12/2011,CGEN,48
1/12/2011,ABSA,65
1/12/2011,COOP,20.5
1/12/2011,DTK,144
1/12/2011,EQTY,28.25
1/12/2011,HFCK,26.85
1/12/2011,KCB,23.25
1/12/2011,NBK,41
1/12/2011,NCBA,49
1/12/2011,SBIC,82.5
1/12/2011,SCBK,271.5
1/12/2011,EVRD,3
1/12/2011,XPRS,8.5
1/12/2011,KQ,46.75
1/12/2011,NMG,170
1/12/2011,SMER,7.15
1/12/2011,SGL,43.5
1/12/2011,TPSE,66
1/12/2011,UCHM,14.5
1/12/2011,SCAN,64
1/12/2011,ARM,185
1/12/2011,BAMB,194
1/12/2011,CRWN,35
1/12/2011,CABL,16.05
1/12/2011,PORT,86
1/12/2011,KENO,10.15
1/12/2011,KEGN,17
1/12/2011,KPLC-P4,7.65
1/12/2011,KPLC-P7,5.5
1/12/2011,KPLC,23.5
1/12/2011,TOTL,29.25
1/12/2011,JUB,199
1/12/2011,KNRE,11.65
1/12/2011,SLAM,72
1/12/2011,OCH,6
1/12/2011,CARB,153
1/12/2011,EABL,208
1/12/2011,ORCH,3
1/12/2011,MSC,9.95
1/12/2011,UNGA,11.25
1/13/2011,EGAD,53.5
1/13/2011,KUKZ,83
1/13/2011,KAPC,130
1/13/2011,LIMT,300
1/13/2011,SASN,12.95
1/13/2011,WTK,206
1/13/2011,CGEN,48
1/13/2011,ABSA,64.5
1/13/2011,COOP,20
1/13/2011,DTK,144
1/13/2011,EQTY,28.75
1/13/2011,HFCK,26.95
1/13/2011,KCB,23.5
1/13/2011,NBK,42
1/13/2011,NCBA,49
1/13/2011,SBIC,82.5
1/13/2011,SCBK,271.25
1/13/2011,EVRD,2.95
1/13/2011,XPRS,8.25
1/13/2011,KQ,46.75
1/13/2011,NMG,174
1/13/2011,SMER,7
1/13/2011,SGL,42.75
1/13/2011,TPSE,65
1/13/2011,UCHM,14.5
1/13/2011,SCAN,64.5
1/13/2011,ARM,184
1/13/2011,BAMB,196
1/13/2011,CRWN,32.5
1/13/2011,CABL,15.65
1/13/2011,PORT,87
1/13/2011,KENO,10.2
1/13/2011,KEGN,17
1/13/2011,KPLC-P4,7.65
1/13/2011,KPLC-P7,5.5
1/13/2011,KPLC,23.75
1/13/2011,TOTL,29.25
1/13/2011,JUB,198
1/13/2011,KNRE,11.4
1/13/2011,SLAM,72
1/13/2011,OCH,6
1/13/2011,CARB,153
1/13/2011,EABL,210
1/13/2011,ORCH,3
1/13/2011,MSC,9.95
1/13/2011,UNGA,11.25
1/14/2011,EGAD,55
1/14/2011,KUKZ,82.5
1/14/2011,KAPC,130
1/14/2011,LIMT,300
1/14/2011,SASN,12.95
1/14/2011,WTK,206
1/14/2011,CGEN,48
1/14/2011,ABSA,64.5
1/14/2011,COOP,20.25
1/14/2011,DTK,145
1/14/2011,EQTY,28.5
1/14/2011,HFCK,27.1
1/14/2011,KCB,23.25
1/14/2011,NBK,42
1/14/2011,NCBA,49.25
1/14/2011,SBIC,83
1/14/2011,SCBK,272.5
1/14/2011,EVRD,2.9
1/14/2011,XPRS,8.25
1/14/2011,KQ,46.25
1/14/2011,NMG,171
1/14/2011,SMER,7
1/14/2011,SGL,43.75
1/14/2011,TPSE,66
1/14/2011,UCHM,14.5
1/14/2011,SCAN,65
1/14/2011,ARM,183
1/14/2011,BAMB,200
1/14/2011,CRWN,32
1/14/2011,CABL,15.95
1/14/2011,PORT,88
1/14/2011,KENO,10.2
1/14/2011,KEGN,16.9
1/14/2011,KPLC-P4,7.65
1/14/2011,KPLC-P7,5.5
1/14/2011,KPLC,23.75
1/14/2011,TOTL,29.25
1/14/2011,JUB,198
1/14/2011,KNRE,11.3
1/14/2011,SLAM,72
1/14/2011,OCH,5.95
1/14/2011,CARB,153
1/14/2011,EABL,211
1/14/2011,ORCH,3
1/14/2011,MSC,10
1/14/2011,UNGA,11.4
1/17/2011,EGAD,55
1/17/2011,KUKZ,79.5
1/17/2011,KAPC,130
1/17/2011,LIMT,300
1/17/2011,SASN,13.05
1/17/2011,WTK,206
1/17/2011,CGEN,48
1/17/2011,ABSA,64.5
1/17/2011,COOP,20.25
1/17/2011,DTK,146
1/17/2011,EQTY,29.25
1/17/2011,HFCK,27.5
1/17/2011,KCB,23.75
1/17/2011,NBK,43
1/17/2011,NCBA,49.25
1/17/2011,SBIC,83
1/17/2011,SCBK,270.5
1/17/2011,EVRD,2.9
1/17/2011,XPRS,8.25
1/17/2011,KQ,46
1/17/2011,NMG,171
1/17/2011,SMER,6.5
1/17/2011,SGL,46.5
1/17/2011,TPSE,66
1/17/2011,UCHM,14.5
1/17/2011,SCAN,64.5
1/17/2011,ARM,184
1/17/2011,BAMB,200
1/17/2011,CRWN,32.5
1/17/2011,CABL,16
1/17/2011,PORT,88.5
1/17/2011,KENO,10.2
1/17/2011,KEGN,16.9
1/17/2011,KPLC-P4,7.65
1/17/2011,KPLC-P7,5.5
1/17/2011,KPLC,23.75
1/17/2011,TOTL,29.25
1/17/2011,JUB,199
1/17/2011,KNRE,11.05
1/17/2011,SLAM,72
1/17/2011,OCH,6
1/17/2011,CARB,153
1/17/2011,EABL,210
1/17/2011,ORCH,3
1/17/2011,MSC,9.95
1/17/2011,UNGA,11.4
1/18/2011,EGAD,53
1/18/2011,KUKZ,77.5
1/18/2011,KAPC,130
1/18/2011,LIMT,300
1/18/2011,SASN,13
1/18/2011,WTK,200
1/18/2011,CGEN,48
1/18/2011,ABSA,64
1/18/2011,COOP,20.25
1/18/2011,DTK,145
1/18/2011,EQTY,29.75
1/18/2011,HFCK,27.9
1/18/2011,KCB,23.75
1/18/2011,NBK,44.5
1/18/2011,NCBA,49.25
1/18/2011,SBIC,83
1/18/2011,SCBK,270.25
1/18/2011,EVRD,2.9
1/18/2011,XPRS,8.5
1/18/2011,KQ,46
1/18/2011,NMG,173
1/18/2011,SMER,6.4
1/18/2011,SGL,45.25
1/18/2011,TPSE,66
1/18/2011,UCHM,14.5
1/18/2011,SCAN,65
1/18/2011,ARM,189
1/18/2011,BAMB,200
1/18/2011,CRWN,32.5
1/18/2011,CABL,16
1/18/2011,PORT,94
1/18/2011,KENO,10.1
1/18/2011,KEGN,16.4
1/18/2011,KPLC-P4,7.65
1/18/2011,KPLC-P7,5.5
1/18/2011,KPLC,23.5
1/18/2011,TOTL,29.25
1/18/2011,JUB,204
1/18/2011,KNRE,11.1
1/18/2011,SLAM,71.5
1/18/2011,OCH,6
1/18/2011,CARB,152
1/18/2011,EABL,211
1/18/2011,ORCH,3
1/18/2011,MSC,9.95
1/18/2011,UNGA,11.35
1/19/2011,EGAD,52.5
1/19/2011,KUKZ,80
1/19/2011,KAPC,130
1/19/2011,LIMT,300
1/19/2011,SASN,13.1
1/19/2011,WTK,200
1/19/2011,CGEN,48
1/19/2011,ABSA,64
1/19/2011,COOP,20.25
1/19/2011,DTK,149
1/19/2011,EQTY,29.75
1/19/2011,HFCK,28.2
1/19/2011,KCB,23.75
1/19/2011,NBK,45.25
1/19/2011,NCBA,49.25
1/19/2011,SBIC,83
1/19/2011,SCBK,271
1/19/2011,EVRD,2.9
1/19/2011,XPRS,8.65
1/19/2011,KQ,46
1/19/2011,NMG,172
1/19/2011,SMER,6.3
1/19/2011,SGL,43
1/19/2011,TPSE,61
1/19/2011,UCHM,14.5
1/19/2011,SCAN,65.5
1/19/2011,ARM,191
1/19/2011,BAMB,200
1/19/2011,CRWN,32.5
1/19/2011,CABL,16.1
1/19/2011,PORT,95.5
1/19/2011,KENO,10
1/19/2011,KEGN,16.5
1/19/2011,KPLC-P4,7.65
1/19/2011,KPLC-P7,5.5
1/19/2011,KPLC,23
1/19/2011,TOTL,29.5
1/19/2011,JUB,201
1/19/2011,KNRE,11.15
1/19/2011,SLAM,69
1/19/2011,OCH,5.6
1/19/2011,CARB,154
1/19/2011,EABL,211
1/19/2011,ORCH,3
1/19/2011,MSC,9.95
1/19/2011,UNGA,10.95
1/20/2011,EGAD,53.5
1/20/2011,KUKZ,80
1/20/2011,KAPC,125
1/20/2011,LIMT,300
1/20/2011,SASN,12.75
1/20/2011,WTK,200
1/20/2011,CGEN,48
1/20/2011,ABSA,63.5
1/20/2011,COOP,20.25
1/20/2011,DTK,147
1/20/2011,EQTY,29.75
1/20/2011,HFCK,28.35
1/20/2011,KCB,23.75
1/20/2011,NBK,45.75
1/20/2011,NCBA,49.75
1/20/2011,SBIC,78
1/20/2011,SCBK,272.25
1/20/2011,EVRD,2.85
1/20/2011,XPRS,8.95
1/20/2011,KQ,46
1/20/2011,NMG,171
1/20/2011,SMER,6.2
1/20/2011,SGL,43.5
1/20/2011,TPSE,64.5
1/20/2011,UCHM,14.5
1/20/2011,SCAN,65.5
1/20/2011,ARM,185
1/20/2011,BAMB,201
1/20/2011,CRWN,32.5
1/20/2011,CABL,16
1/20/2011,PORT,98
1/20/2011,KENO,9.95
1/20/2011,KEGN,16.4
1/20/2011,KPLC-P4,7.65
1/20/2011,KPLC-P7,5.5
1/20/2011,KPLC,23
1/20/2011,TOTL,29.25
1/20/2011,JUB,193
1/20/2011,KNRE,11.1
1/20/2011,SLAM,67
1/20/2011,OCH,5.65
1/20/2011,CARB,150
1/20/2011,EABL,210
1/20/2011,ORCH,3
1/20/2011,MSC,9.85
1/20/2011,UNGA,10.6
1/21/2011,EGAD,53.5
1/21/2011,KUKZ,82
1/21/2011,KAPC,125
1/21/2011,LIMT,300
1/21/2011,SASN,12.65
1/21/2011,WTK,200
1/21/2011,CGEN,48
1/21/2011,ABSA,64
1/21/2011,COOP,20.25
1/21/2011,DTK,147
1/21/2011,EQTY,29.5
1/21/2011,HFCK,28.6
1/21/2011,KCB,23.75
